seed_title,source_seed,wikidata_qid
The Flying Burrito Brothers,artist_universe_full_targeted,Q200769
The Frontmen,artist_universe_full_targeted,Q117481326
The Georgia Satellites,artist_universe_full_targeted,Q1683782
The Goldens,artist_universe_full_targeted,Q18148581
The Gospel Stars,artist_universe_full_targeted,Q116763756
The Gourds,artist_universe_full_targeted,Q669818
The Grascals,artist_universe_full_targeted,Q7737563
The Grass Roots,artist_universe_full_targeted,Q1761483
The Head and the Heart,artist_universe_full_targeted,Q2076097
The Hodges Brothers,artist_universe_full_targeted,Q1713197
The Holidays,artist_universe_full_targeted,Q14159657
The Holy Modal Rounders,artist_universe_full_targeted,Q1630271
The Hooters,artist_universe_full_targeted,Q1257490
The Hot Club of Cowtown,artist_universe_full_targeted,Q14158734
The Hutchens,artist_universe_full_targeted,Q7741171
The Isaacs,artist_universe_full_targeted,Q7742642
The Jayhawks,artist_universe_full_targeted,Q1508351
The Jordanaires,artist_universe_full_targeted,Q1197180
The Judds,artist_universe_full_targeted,
The Kelly Family,artist_universe_full_targeted,Q169516
The Kentucky Headhunters,artist_universe_full_targeted,Q691006
The Lemonheads,artist_universe_full_targeted,Q166006
The Louvin Brothers,artist_universe_full_targeted,Q1756844
The Marshall Tucker Band,artist_universe_full_targeted,
The Mastersons,artist_universe_full_targeted,Q15052697
The Mavericks,artist_universe_full_targeted,Q951665
The Mountain Goats,artist_universe_full_targeted,
The National,artist_universe_full_targeted,Q1900699
The New Christy Minstrels,artist_universe_full_targeted,Q1569364
The Oak Ridge Boys,artist_universe_full_targeted,Q2008427
The Osmonds,artist_universe_full_targeted,Q1543041
The Ozark Mountain Daredevils,artist_universe_full_targeted,Q2003506
The Railbenders,artist_universe_full_targeted,Q20685227
The Ranch,artist_universe_full_targeted,Q21463452
The Rascals,artist_universe_full_targeted,Q1757318
The Relatives,artist_universe_full_targeted,Q104670580
The Reverend Horton Heat,artist_universe_full_targeted,Q1273740
The Road Hammers,artist_universe_full_targeted,Q3522525
The Rock Garden,artist_universe_full_targeted,Q116507375
The Rock-A-Teens,artist_universe_full_targeted,Q1346824
The Rowans,artist_universe_full_targeted,Q1592369
The Sea-Wolf,artist_universe_full_targeted,Q1196857
The Shelton Brothers,artist_universe_full_targeted,Q1671419
The Stanley Brothers,artist_universe_full_targeted,Q656291
The Statler Brothers,artist_universe_full_targeted,Q167408
The Steel Woods,artist_universe_full_targeted,Q43081080
The SteelDrivers,artist_universe_full_targeted,Q7766441
The Swon Brothers,artist_universe_full_targeted,Q16226634
